NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NU_NOTA_REDACAO,IDX
400,400,400,400,400,150243
400,600,600,600,400,150244
400,400,400,400,400,150245
400,600,400,400,400,150246
400,400,400,600,600,150247
400,400,400,400,400,150248
400,400,400,400,600,150249
600,600,600,600,600,150250
600,600,600,600,600,150251
400,400,400,400,400,150252
400,400,400,400,400,150253
400,600,400,400,400,150254
600,600,600,800,600,150255
400,600,600,400,400,150256
400,600,200,600,400,150257
400,400,400,400,400,150258
400,400,400,400,400,150259
600,600,600,400,400,150260
400,400,400,400,400,150261
400,600,400,600,600,150262
400,400,400,400,200,150263
400,600,400,400,400,150264
600,600,600,600,400,150265
400,600,600,600,400,150266
400,600,600,400,400,150267
400,400,400,400,400,150268
600,400,400,400,600,150269
400,400,400,400,400,150270
400,400,400,600,400,150271
400,400,400,400,200,150272
600,600,600,600,600,150273
400,400,400,600,400,150274
400,600,400,400,600,150275
400,400,400,400,0,150276
600,400,400,400,600,150277
400,400,400,400,800,150278
400,600,400,400,400,150279
400,600,600,600,1000,150280
600,600,600,800,600,150281
600,600,400,600,600,150282
400,600,600,400,600,150283
400,400,400,400,400,150284
400,400,400,400,600,150285
600,600,600,600,800,150286
400,400,400,400,600,150287
600,600,600,600,600,150288
600,600,600,600,400,150289
400,400,400,400,200,150290
400,600,400,400,400,150291
400,400,400,600,600,150292
600,600,400,600,600,150293
400,400,400,400,600,150294
400,400,400,400,600,150295
400,600,600,400,400,150296
400,400,400,400,400,150297
400,400,400,400,400,150298
400,400,400,400,200,150299
400,600,600,600,400,150300
400,400,600,600,600,150301
400,600,400,400,400,150302
400,600,600,400,400,150303
600,400,600,400,400,150304
400,600,400,400,400,150305
400,600,400,400,400,150306
600,600,400,600,600,150307
400,600,400,400,600,150308
400,400,400,600,400,150309
400,400,400,600,600,150310
400,400,400,400,400,150311
400,400,400,400,0,150312
400,600,400,800,400,150313
600,600,600,600,600,150314
400,400,400,400,400,150315
600,600,600,800,600,150316
400,400,400,600,600,150317
400,400,400,400,0,150318
400,400,400,600,400,150319
400,400,400,400,200,150320
600,600,400,800,600,150321
400,600,400,600,800,150322
400,600,600,400,400,150323
400,400,600,400,400,150324
600,600,400,400,600,150325
600,600,600,600,400,150326
600,600,600,400,1000,150327
400,400,600,400,400,150328
600,600,600,400,600,150329
400,600,600,400,400,150330
400,400,400,600,400,150331
600,600,600,600,400,150332
400,400,400,600,400,150333
400,400,400,400,400,150334
400,600,400,400,400,150335
400,600,400,400,600,150336
400,400,400,400,400,150337
400,600,600,600,600,150338
400,600,600,400,400,150339
400,400,400,400,600,150340
600,600,600,800,1000,150341
400,600,600,600,600,150342
600,800,600,800,800,150343
400,600,400,600,400,150344
400,600,600,600,600,150345
400,600,600,400,600,150346
400,600,600,400,600,150347
600,600,600,600,600,150348
400,400,400,400,400,150349
600,600,600,600,800,150350
400,600,600,600,800,150351
400,400,600,400,600,150352
400,400,400,400,0,150353
400,400,400,400,400,150354
400,400,400,400,400,150355
400,400,400,400,400,150356
400,600,600,600,600,150357
400,400,400,600,600,150358
400,600,600,600,400,150359
