UF_RESIDENCIA,IDADE,TP_SEXO,ST_CONCLUSAO,ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,IDX
24,18,0,1,2012,0,0,1,150160
15,42,1,1,2004,0,1,3,150161
25,18,1,2,0,1,0,3,150162
13,17,0,2,0,1,0,3,150163
13,21,0,1,2009,0,0,2,150164
19,23,1,1,2007,0,0,2,150165
25,17,0,2,0,1,0,1,150166
25,16,1,3,0,0,1,1,150167
6,17,1,3,0,0,0,3,150168
5,42,1,4,0,0,1,1,150169
6,16,0,3,0,0,0,3,150170
21,22,0,1,2012,0,0,2,150171
23,16,0,4,0,0,0,2,150172
17,16,0,3,0,0,0,4,150173
25,17,0,2,0,2,0,1,150174
12,25,1,1,2008,0,0,2,150175
25,23,0,1,2007,0,0,3,150176
5,15,0,3,0,0,0,3,150177
7,24,1,1,2008,0,1,3,150178
13,18,1,3,0,0,0,1,150179
4,28,0,1,2010,0,0,1,150180
14,20,0,1,2012,0,0,3,150181
19,18,1,2,0,2,0,2,150182
16,19,0,1,2011,0,0,3,150183
9,19,1,1,2010,0,0,1,150184
15,17,0,3,0,0,0,3,150185
26,49,1,1,2004,0,1,2,150186
25,18,0,1,2012,0,0,3,150187
25,18,0,2,0,1,0,1,150188
8,18,0,2,0,1,0,3,150189
21,17,1,2,0,2,0,1,150190
19,31,1,1,2004,0,0,3,150191
20,18,0,2,0,1,0,3,150192
21,17,0,1,2012,0,0,1,150193
13,18,0,1,2012,0,0,3,150194
25,50,1,1,2009,0,3,1,150195
6,16,1,3,0,0,0,3,150196
13,26,0,1,2005,0,1,1,150197
18,20,1,1,2012,0,0,1,150198
13,23,0,1,2008,0,0,3,150199
6,14,0,3,0,0,0,3,150200
22,18,0,2,0,1,0,3,150201
9,30,0,1,2004,0,0,3,150202
6,21,0,1,2010,0,0,1,150203
20,19,0,1,2012,0,0,1,150204
19,20,1,2,0,1,0,0,150205
16,17,0,2,0,1,0,1,150206
16,16,1,3,0,0,0,3,150207
16,21,0,4,0,0,0,3,150208
10,17,1,2,0,1,0,3,150209
19,17,1,3,0,0,0,1,150210
15,47,1,1,2004,0,1,1,150211
19,18,1,2,0,1,0,2,150212
24,18,0,3,0,0,0,1,150213
16,16,1,3,0,0,0,1,150214
2,21,0,1,2009,0,0,3,150215
6,25,1,1,2010,0,0,2,150216
18,25,0,1,2009,0,0,2,150217
24,15,0,3,0,0,0,1,150218
4,29,0,1,2004,0,0,3,150219
25,18,0,2,0,1,0,2,150220
15,25,0,1,2007,0,1,3,150221
14,21,1,1,2009,0,0,3,150222
11,18,1,2,0,1,0,3,150223
20,18,0,1,2012,0,0,3,150224
24,17,0,2,0,2,0,1,150225
20,19,0,2,0,1,0,2,150226
15,17,0,2,0,2,0,1,150227
25,17,1,2,0,1,0,1,150228
5,17,0,3,0,0,0,2,150229
18,22,0,1,2008,0,0,3,150230
19,18,1,2,0,2,0,1,150231
2,20,1,1,2010,0,0,3,150232
17,25,0,1,2006,0,0,5,150233
8,24,1,4,0,0,1,1,150234
25,17,0,3,0,0,0,1,150235
19,18,1,1,2012,0,0,1,150236
13,17,1,2,0,1,0,1,150237
10,20,0,1,2011,0,1,1,150238
11,18,1,1,2012,0,0,1,150239
17,41,0,1,2004,0,1,2,150240
6,20,1,1,2011,0,0,3,150241
21,26,1,1,2005,0,0,1,150242
20,22,1,1,2010,0,0,1,150243
13,30,0,4,0,0,2,1,150244
9,16,1,3,0,0,0,1,150245
12,28,1,1,2009,0,1,3,150246
11,18,0,2,0,1,0,3,150247
14,19,0,1,2012,0,0,1,150248
2,31,0,1,2012,0,1,1,150249
24,17,1,2,0,1,0,1,150250
17,17,1,2,0,2,0,3,150251
11,23,1,1,2011,0,0,1,150252
17,18,1,1,2012,0,0,1,150253
14,27,1,1,2007,0,0,1,150254
21,17,0,3,0,0,0,1,150255
13,33,1,1,2004,0,1,1,150256
12,21,1,1,2010,0,0,2,150257
13,20,0,1,2011,0,0,1,150258
18,20,0,1,2011,0,0,3,150259
2,20,1,1,2011,0,0,1,150260
5,18,0,1,2011,0,0,3,150261
14,31,0,1,2004,0,1,3,150262
27,21,0,1,2012,0,0,3,150263
17,18,1,2,0,1,0,3,150264
22,16,0,3,0,0,0,1,150265
5,16,1,3,0,0,0,3,150266
6,19,0,3,0,0,0,1,150267
10,16,0,3,0,0,0,3,150268
7,18,0,2,0,1,0,3,150269
9,19,1,2,0,1,0,1,150270
11,18,1,2,0,1,0,1,150271
6,18,1,3,0,0,0,2,150272
6,17,0,3,0,0,0,3,150273
6,17,1,3,0,0,0,3,150274
5,19,0,2,0,1,0,3,150275
18,28,0,1,2008,0,1,1,150276
